    f0    |     Gx    |     Gy    |     Gz   
-6.770653 | -0.000022 | -0.000567 | -0.000743
-5.011693 | -0.000017 |  0.001122 | -0.000757
-4.300940 | -0.000017 |  0.001933 | -0.000784
-5.630117 | -0.000014 |  0.000402 | -0.000813
-5.493811 |  0.000004 |  0.000579 | -0.000836
-4.981549 |  0.000021 |  0.001337 | -0.000825
-4.715574 |  0.000039 |  0.001782 | -0.000810
-4.349089 |  0.000046 |  0.002457 | -0.000779
-4.470562 |  0.000064 |  0.002229 | -0.000756
-4.742915 |  0.000071 |  0.001445 | -0.000737
-4.763563 |  0.000091 |  0.001361 | -0.000728
-4.763192 |  0.000106 |  0.001438 | -0.000715
-4.668736 |  0.000139 |  0.002404 | -0.000670
-4.660973 |  0.000164 |  0.003027 | -0.000626
-4.652634 |  0.000184 |  0.002814 | -0.000603
-4.438170 |  0.000197 |  0.001366 | -0.000591
-4.372686 |  0.000222 |  0.001172 | -0.000588
-4.674858 |  0.000238 |  0.002050 | -0.000584
